qid;pageid;title;question;current_time;outdated_info_dates;answer;outdated_answer
1;76743157;Petar Banović;What nationality is Petar Banović?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Croatian;Bosnian
2;35765957;2012 JK Racing Asia Series;How many meetings were held during the 2012 JK Racing Asia Series season?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;six;five
3;2996777;FIFA Futsal World Cup;Who are the current champions of the FIFA Futsal World Cup?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Brazil;Portugal
4;3536551;Garo Yepremian;Whose hands did the ball slip from in the infamous Super Bowl VII play?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Yepremian's hands;Garo's hands
5;18889335;José Carlos Moreira;What is José Carlos Moreira's personal best time in the 100 metres?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;10.15 seconds;10.16 seconds
6;25122894;Iranian Jews in Israel;How many Iranians have settled in Israel since the establishment of the State of Israel?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Over 200,000;Over 134,000
7;10389683;Alberto Caeiro;Who published the first collection of Alberto Caeiro's poetry in Portugal?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Luís de Montalvor and;Luís de Montalvor
8;18758407;Wimpy (restaurant);How many Wimpy restaurants remain in the United Kingdom?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;61;64
9;75453113;Harvest (2024 film);Who adapted the book for the film Harvest?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Joslyn Barnes and Tsangari;Joslyn Barnes and Athina Rachel Tsangari
10;75062914;Miss Alagoas;Who is the State director for Miss Alagoas?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Fellipe Jhonatas Mendes;Carolina Borsatto
11;69183928;Nika Amashukeli;Whose career highlight was the 2019 World Rugby Under 20 Championship in Argentina?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Amashukeli;Nika
12;60125109;Nándor Tamás;Which team does Nándor Károly Tamás play for?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Komárno;Csákvár
13;43685269;Matt Reynolds (infielder);What team does Matthew William Reynolds currently play for?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;No team (free agent);Hiroshima Toyo Carp
