qid,question,pageid,title,current_time,outdated_info_dates,new_chunks_file,outdated_chunks_file,new_top_chunks,outdated_top_chunks
1,What is the name of the yeast that can be used to ferment gluconolactone to ethanol and carbon dioxide?,1000005,Glucono delta-lactone,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z,data/KB_chunked_new/2024-07_1000005_oldid_1230887229.wikitext.jsonl,data/KB_chunked_outdated/2024-06_1000005_oldid_1209251091.wikitext.jsonl,"[2024-07_1000005_oldid_1230887229.wikitext_1 | 8.171] GDL has been marketed for use in feta cheese. GDL is pH-neutral, but hydrolyses in water to gluconic acid which is acidic, adding a tangy taste to foods, though it has roughly a third of the sourness of citric acid. It is metabolized to 6-phospho-D-gluconate; one gram of GDL yields roughly the same amount of metabolic energy as one gram of sugar.  Upon addition to water, GDL is partially hydrolysed to gluconic acid, with the balance between the lactone form and the acid form established as a chemical equilibrium. The rate of hydrolysis of GDL is increased by heat and high pH.  The yeast Maudiozyma bulderi can be used to ferment gluconolactone to ethanol and carbon dioxide. The pH value greatly affects culture growth. Gluconolactone at 1 or 2% in a mineral media solution causes the pH to dr...","[2024-06_1000005_oldid_1209251091.wikitext_1 | 8.171] GDL has been marketed for use in feta cheese. GDL is pH-neutral, but hydrolyses in water to gluconic acid which is acidic, adding a tangy taste to foods, though it has roughly a third of the sourness of citric acid. It is metabolized to 6-phospho-D-gluconate; one gram of GDL yields roughly the same amount of metabolic energy as one gram of sugar.  Upon addition to water, GDL is partially hydrolysed to gluconic acid, with the balance between the lactone form and the acid form established as a chemical equilibrium. The rate of hydrolysis of GDL is increased by heat and high pH.  The yeast Saccharomyces bulderi can be used to ferment gluconolactone to ethanol and carbon dioxide. The pH value greatly affects culture growth. Gluconolactone at 1 or 2% in a mineral media solution causes the pH to..."
2,What was the median income in Otago compared to the national median income?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z,data/KB_chunked_new/2024-11_100011_oldid_1253854908.wikitext.jsonl,data/KB_chunked_outdated/2024-10_100011_oldid_1243543119.wikitext.jsonl,"[2024-11_100011_oldid_1253854908.wikitext_22 | 16.939] Of those at least 15 years old, 40,458 (19.9%) people had a bachelor's or higher degree, 106,080 (52.2%) had a post-high school certificate or diploma, and 43,974 (21.6%) people exclusively held high school qualifications. The median income was $39,100, compared with $41,500 nationally. 19,692 people (9.7%) earned over $100,000 compared to 12.1% nationally. The employment status of those at least 15 was that 101,514 (50.0%) people were employed full-time, 31,086 (15.3%) were part-time, and 4,848 (2.4%) were unemployed.","[2024-10_100011_oldid_1243543119.wikitext_20 | 15.871] The percentage of people born overseas was 21.7, compared with 27.1% nationally.  Although some people chose not to answer the census's question about religious affiliation, 55.8% had no religion, 33.4% were Christian, 0.2% had Māori religious beliefs, 0.8% were Hindu, 0.7% were Muslim, 0.7% were Buddhist and 2.1% had other religions.  Of those at least 15 years old, 42,816 (22.8%) people had a bachelor's or higher degree, and 31,122 (16.6%) people had no formal qualifications. The median income was $30,000, compared with $31,800 nationally. 26,988 people (14.4%) earned over $70,000 compared to 17.2% nationally. The employment status of those at least 15 was that 92,418 (49.2%) people were employed full-time, 30,396 (16.2%) were part-time, and 6,048 (3.2%) were unemployed."
3,What percentage of people at least 15 years old were employed full-time?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z,data/KB_chunked_new/2024-11_100011_oldid_1253854908.wikitext.jsonl,data/KB_chunked_outdated/2024-10_100011_oldid_1243543119.wikitext.jsonl,"[2024-11_100011_oldid_1253854908.wikitext_22 | 28.224] Of those at least 15 years old, 40,458 (19.9%) people had a bachelor's or higher degree, 106,080 (52.2%) had a post-high school certificate or diploma, and 43,974 (21.6%) people exclusively held high school qualifications. The median income was $39,100, compared with $41,500 nationally. 19,692 people (9.7%) earned over $100,000 compared to 12.1% nationally. The employment status of those at least 15 was that 101,514 (50.0%) people were employed full-time, 31,086 (15.3%) were part-time, and 4,848 (2.4%) were unemployed.","[2024-10_100011_oldid_1243543119.wikitext_20 | 27.602] The percentage of people born overseas was 21.7, compared with 27.1% nationally.  Although some people chose not to answer the census's question about religious affiliation, 55.8% had no religion, 33.4% were Christian, 0.2% had Māori religious beliefs, 0.8% were Hindu, 0.7% were Muslim, 0.7% were Buddhist and 2.1% had other religions.  Of those at least 15 years old, 42,816 (22.8%) people had a bachelor's or higher degree, and 31,122 (16.6%) people had no formal qualifications. The median income was $30,000, compared with $31,800 nationally. 26,988 people (14.4%) earned over $70,000 compared to 17.2% nationally. The employment status of those at least 15 was that 92,418 (49.2%) people were employed full-time, 30,396 (16.2%) were part-time, and 6,048 (3.2%) were unemployed."
4,What percentage of people at least 15 years old had a bachelor's or higher degree?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z,data/KB_chunked_new/2024-11_100011_oldid_1253854908.wikitext.jsonl,data/KB_chunked_outdated/2024-10_100011_oldid_1243543119.wikitext.jsonl,"[2024-11_100011_oldid_1253854908.wikitext_22 | 32.399] Of those at least 15 years old, 40,458 (19.9%) people had a bachelor's or higher degree, 106,080 (52.2%) had a post-high school certificate or diploma, and 43,974 (21.6%) people exclusively held high school qualifications. The median income was $39,100, compared with $41,500 nationally. 19,692 people (9.7%) earned over $100,000 compared to 12.1% nationally. The employment status of those at least 15 was that 101,514 (50.0%) people were employed full-time, 31,086 (15.3%) were part-time, and 4,848 (2.4%) were unemployed.","[2024-10_100011_oldid_1243543119.wikitext_20 | 31.041] The percentage of people born overseas was 21.7, compared with 27.1% nationally.  Although some people chose not to answer the census's question about religious affiliation, 55.8% had no religion, 33.4% were Christian, 0.2% had Māori religious beliefs, 0.8% were Hindu, 0.7% were Muslim, 0.7% were Buddhist and 2.1% had other religions.  Of those at least 15 years old, 42,816 (22.8%) people had a bachelor's or higher degree, and 31,122 (16.6%) people had no formal qualifications. The median income was $30,000, compared with $31,800 nationally. 26,988 people (14.4%) earned over $70,000 compared to 17.2% nationally. The employment status of those at least 15 was that 92,418 (49.2%) people were employed full-time, 30,396 (16.2%) were part-time, and 6,048 (3.2%) were unemployed."
5,"What percentage of people in Otago were born overseas, compared to the national percentage?",100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z,data/KB_chunked_new/2024-11_100011_oldid_1253854908.wikitext.jsonl,data/KB_chunked_outdated/2024-10_100011_oldid_1243543119.wikitext.jsonl,"[2024-11_100011_oldid_1253854908.wikitext_21 | 16.140] People could identify as more than one ethnicity. The results were 85.2% European (Pākehā); 9.9% Māori; 3.4% Pasifika; 8.5% Asian; 2.2% Middle Eastern, Latin American and African New Zealanders (MELAA); and 2.7% other, which includes people giving their ethnicity as ""New Zealander"". English was spoken by 97.5%, Māori language by 1.9%, Samoan by 0.6% and other languages by 11.9%. No language could be spoken by 1.7% (e.g. too young to talk). New Zealand Sign Language was known by 0.5%. The percentage of people born overseas was 23.8, compared with 28.8% nationally.  Religious affiliations were 28.4% Christian, 1.0% Hindu, 0.8% Islam, 0.2% Māori religious beliefs, 0.7% Buddhist, 0.5% New Age, 0.1% Jewish,  and 1.4% other religions. People who answered that they had no religion were 60.3%, and...","[2024-10_100011_oldid_1243543119.wikitext_20 | 19.307] The percentage of people born overseas was 21.7, compared with 27.1% nationally.  Although some people chose not to answer the census's question about religious affiliation, 55.8% had no religion, 33.4% were Christian, 0.2% had Māori religious beliefs, 0.8% were Hindu, 0.7% were Muslim, 0.7% were Buddhist and 2.1% had other religions.  Of those at least 15 years old, 42,816 (22.8%) people had a bachelor's or higher degree, and 31,122 (16.6%) people had no formal qualifications. The median income was $30,000, compared with $31,800 nationally. 26,988 people (14.4%) earned over $70,000 compared to 17.2% nationally. The employment status of those at least 15 was that 92,418 (49.2%) people were employed full-time, 30,396 (16.2%) were part-time, and 6,048 (3.2%) were unemployed."
6,How many people in Otago were aged under 15 years?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z,data/KB_chunked_new/2024-11_100011_oldid_1253854908.wikitext.jsonl,data/KB_chunked_outdated/2024-10_100011_oldid_1243543119.wikitext.jsonl,"[2024-11_100011_oldid_1253854908.wikitext_20 | 20.683] Otago had a population of 240,900 in the 2023 New Zealand census, an increase of 15,714 people (7.0%) since the 2018 census, and an increase of 38,430 people (19.0%) since the 2013 census. There were 118,524 males, 121,185 females and 1,188 people of other genders in 94,425 dwellings. 4.3% of people identified as LGBTIQ+. The median age was 38.4 years (compared with 38.1 years nationally). There were 37,749 people (15.7%) aged under 15 years, 53,532 (22.2%) aged 15 to 29, 106,926 (44.4%) aged 30 to 64, and 42,690 (17.7%) aged 65 or older.","[2024-10_100011_oldid_1243543119.wikitext_19 | 19.000] Otago had a population of 240,900 in the 2023 New Zealand census, an increase of 15,714 people (7.0%) since the 2018 census, and an increase of 38,430 people (19.0%) since the 2013 census. There were 112,473 dwellings. The median age was 38.4 years (compared with 38.1 years nationally). There were 37,752 people (15.7%) aged under 15 years, 53,532 (22.2%) aged 15 to 29, 106,929 (44.4%) aged 30 to 64, and 42,693 (17.7%) aged 65 or older.  Ethnicities were 85.2% European/Pākehā, 9.9% Māori, 3.4% Pasifika, 8.5% Asian, 2.2% Middle Eastern, Latin American and African New Zealanders, and 1.3% other ethnicities. People may identify with more than one ethnicity.  Otago Region had a population of 225,186 at the 2018 New Zealand census. There were 85,665 households, comprising 110,970 males and 114,2..."
7,Who is the current Master of the Horse?,1000214,Master of the Horse,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z,data/KB_chunked_new/2024-07_1000214_oldid_1229659085.wikitext.jsonl,data/KB_chunked_outdated/2024-06_1000214_oldid_1199747554.wikitext.jsonl,"[2024-07_1000214_oldid_1229659085.wikitext_6 | 4.286] ===Modern role===  as Master of the Horse during the coronation of Charles III in 2023]] The current Master of the Horse is The Lord Ashton of Hyde.  Today the Master of the Horse has a primarily ceremonial office, and rarely appears except on state occasions, and especially when the Sovereign is mounted. The Crown Equerry has daily oversight of the Royal Mews, which provides vehicular transport for the Sovereign, both cars and horse-drawn carriages. Train travel is arranged by the Royal Travel Office, which also co-ordinates air transport.","[2024-06_1000214_oldid_1199747554.wikitext_6 | 4.307] ===Modern role===  as Master of the Horse during the coronation of Charles III in 2023]] The current Master of the Horse is Lord de Mauley.  Today the Master of the Horse has a primarily ceremonial office, and rarely appears except on state occasions, and especially when the Sovereign is mounted. The Crown Equerry has daily oversight of the Royal Mews, which provides vehicular transport for the Sovereign, both cars and horse-drawn carriages. Train travel is arranged by the Royal Travel Office, which also co-ordinates air transport."
8,What is the estimated lower bound of the number of dead across France during the St. Bartholomew's Day massacre?,1000232,Genocides in history (before World War I),2024-09-01T00:00:00Z,2024-08-01T00:00:00Z,data/KB_chunked_new/2024-09_1000232_oldid_1243255221.wikitext.jsonl,data/KB_chunked_outdated/2024-08_1000232_oldid_1237782021.wikitext.jsonl,"[2024-09_1000232_oldid_1243255221.wikitext_106 | 19.879] The massacre began in the night of 23–24 August 1572, the eve of the feast of Bartholomew the Apostle, two days after the attempted assassination of Admiral Gaspard de Coligny, the military and political leader of the Huguenots. King Charles IX ordered the killing of a group of Huguenot leaders, including Coligny, and the slaughter spread throughout Paris. Lasting several weeks in all, the massacre expanded outward to the countryside and other urban centres. Modern estimates for the number of dead across France vary widely, from 6,000 to 30,000.","[2024-08_1000232_oldid_1237782021.wikitext_102 | 19.775] The massacre began in the night of 23–24 August 1572, the eve of the feast of Bartholomew the Apostle, two days after the attempted assassination of Admiral Gaspard de Coligny, the military and political leader of the Huguenots. King Charles IX ordered the killing of a group of Huguenot leaders, including Coligny, and the slaughter spread throughout Paris. Lasting several weeks in all, the massacre expanded outward to the countryside and other urban centres. Modern estimates for the number of dead across France vary widely, from 5,000 to 30,000."
9,"In what year did Shi Min seize control of the emperor and capital, Ye through a coup?",1000232,Genocides in history (before World War I),2024-11-01T00:00:00Z,2024-10-01T00:00:00Z,data/KB_chunked_new/2024-11_1000232_oldid_1254378697.wikitext.jsonl,data/KB_chunked_outdated/2024-10_1000232_oldid_1248584966.wikitext.jsonl,"[2024-11_1000232_oldid_1254378697.wikitext_19 | 31.392] === Jie and Wu Hu === The Later Zhao dynasty (319–351) was a Jie-led state that ruled most of northern China during the Sixteen Kingdoms period in the fourth century CE. At the time, northern China was home to many non-Han Chinese tribes collectively known in historiography as the Wu Hu or ""Five Barbarians"", of which the Jie were one of them. In its final years, the Later Zhao fell into civil war between members of the imperial family over the throne. One powerful member, Shi Min (later known as Ran Min), was an adopted Han Chinese, and in 350, he seized control of the emperor and capital, Ye through a coup.","[2024-10_1000232_oldid_1248584966.wikitext_19 | 30.908] === Jie and Wu Hu === The Later Zhao dynasty (319–351) was a Jie-led state that ruled most of northern China during the Sixteen Kingdoms period in the fourth century CE. At the time, northern China was home to many non-Han Chinese tribes collectively known in historiography as the Wu Hu or ""Five Barbarians"", of which the Jie were one of them. In its final years, the Later Zhao fell into civil war between members of the imperial family over the throne. One powerful member, Shi Min (later known as Ran Min), was an adopted Han Chinese, and in 349, he seized control of the emperor and capital, Ye through a coup."
10,What is the time period for which the football team was classified by the NJSIAA as Group I South for football?,10002689,Wildwood High School,2024-10-01T00:00:00Z,2024-09-01T00:00:00Z,data/KB_chunked_new/2024-10_10002689_oldid_1247149631.wikitext.jsonl,data/KB_chunked_outdated/2024-09_10002689_oldid_1240466594.wikitext.jsonl,"[2024-10_10002689_oldid_1247149631.wikitext_4 | 22.995] ==Athletics==  The Wildwood High School Warriors compete as one of the member schools in the Tri-County Conference, which is comprised of public and private high schools located in Camden, Cape May, Cumberland, Gloucester and Salem counties. The conference is overseen by the New Jersey State Interscholastic Athletic Association (NJSIAA). With 183 students in grades 9-12, the school was classified by the NJSIAA for the 2022-23 school year as South, Group 1 for most athletic competition purposes, which included schools with an enrollment of 75 to 476 students in that grade range. The football team competes in the Horizon Division of the 94-team West Jersey Football League superconference and was classified by the NJSIAA as Group I South for football for 2024–2026, which included schools with...","[2024-09_10002689_oldid_1240466594.wikitext_4 | 22.675] ==Athletics==  The Wildwood High School Warriors compete as one of the member schools in the Tri-County Conference, which comprises public and private high schools located in Camden, Cape May, Cumberland, Gloucester and Salem counties. The conference is overseen by the New Jersey State Interscholastic Athletic Association (NJSIAA). With 183 students in grades 9-12, the school was classified by the NJSIAA for the 2022-23 school year as South, Group 1 for most athletic competition purposes, which included schools with an enrollment of 75 to 476 students in that grade range. The football team competes in the Horizon Division of the 94-team West Jersey Football League superconference and was classified by the NJSIAA as Group I South for football for 2022–2024, which included schools with 200 t..."
