qid;answer;outdated_answer
1;Maudiozyma bulderi;Saccharomyces bulderi
2;$39,100, compared with $41,500 nationally;$30,000, compared with $31,800 nationally
3;50.0%;49.2%
4;19.9%;22.8%
5;23.8%, compared with 28.8% nationally;21.7%, compared with 27.1% nationally
6;37,749;37,752
7;The Lord Ashton of Hyde;Lord de Mauley
8;6,000;5,000
9;350;349
10;2024–2026;2022–2024
11;Over 350 lbs;Over 440 lbs
12;KCOP-TV;UPN News
13;Urartu;Rusa
14;954;953
15;60;70
16;Jon Radus;David Hendricks
17;HARPS and NIRPS;HARPS
18;three;four
19;2014;2010
20;2006;2016
21;18;17
22;13 faculty containing 40 professional Schools;13 schools containing 37 professional departments
23;$9.99;$10
24;2020;2000
25;91;90
26;Shivamogga Airport;Mangalore International Airport
27;12;13
28;Shesha serpent;Vasuki serpent
29;Pegi Nicol MacLeod;Pegi Nicol
30;Krishna, Varaha, Vamana, and Balarama (Haladhara);Narayana, Varaha, Vamana, and Balarama (Haladhara)
31;A large Performing Arts Center;A large auditorium
32;84;63 full-time and 2 part-time
33;National Honor Society, National Junior Honor Society, World's Scholar's Cup;National Honor Society, Academic Games
34;1963;1962
35;Theater actress, singer, and figure skater;Theater actress and singer
36;Treta Yuga;Satya Yuga
37;10;11
38;8% Hindu, 3% Christian;12% Hindu, 1% Christian
39;Buddhism;Hinduism
40;About 87% are Buddhist and around 3% are Christians.;About 99% are Buddhist and around 1% are Christians.
41;SakaSaga Dawa;Buddha Jayanti
42;18;17
43;Tipperary, Ireland;Galbally, Co Limerick, Ireland
44;Nine;Seven
45;Peluza Nord FCSB;Peluza Dron SCFB
46;3rd century BCE;1st millennium BCE
47;Yadava king;"Yadava king;Rajput king"
48;95% of the Siddis from Gujarat and 99% of the Siddis from Karnataka;53% of the Siddis from Gujarat and 24% of the Siddis from Karnataka
49;28;26
50;10;12
51;18;14
52;Friedenstag;Daphne
53;1008;More than 1000
54;Monaco;Paris Saint-Germain
55;10,000 years;11,000 years
56;2020;2023
57;2,388 students;1,388 students
58;3.3;3.6
59;Pogórze Gierałtowice;Puls Broszkowice
60;14;13
61;More than 26,000;28,013
62;19;18
63;Richmond, British Columbia, Canada;Richmond, Virginia
64;507–513;507–511
65;Cyprus;Bulgaria, Cyprus, and Romania
66;15 February 1950;"15 February 1950;1 February 1951"
67;Eastern Anatolia and Upper Mesopotamia;Eastern Anatolia and northern Iraq
68;Tennessee;Texas
69;2024–2026;2022–2024
70;76th greatest boxer, pound for pound;21st greatest European boxer
71;92%;60.37%
72;9,300;8700
73;Two;Four
74;Marqueece Harris-Dawson;Paul Krekorian
75;Bob Blumenfield;Marqueece Harris-Dawson
76;1968;1949
77;4% or more per year;2% or more per year
78;20th Century Fox;20th Century Studios
79;865 days;365 days
80;mpungu;nganga
81;Cuban;Guatemalan (father) and Cuban (mother)
82;Scotland;England
83;Chi Chaesŏn;Ji Jae-seon
84;1878;about 1870
85;All-Ireland Senior Hurling Championship;All-Ireland Senior Football Championship
86;184 countries;183 countries
87;184;170
88;16;14
89;9:47;9:49
90;254;250
91;576;565
92;Chigwizi;Shengwidsee
93;Wells and Mendip Hills;Bridgwater and West Somerset
94;30+ locations;20+ locations
95;2002;2003
96;Univers 48;Univers 47
97;Pub. L. 116–260, div. O, title X, § 1002(1), 134 Stat. 2155;HR133
98;23 years old;21 years old
99;700;680
100;16;14
