qid,question,pageid,title,current_time,outdated_info_dates
1,What is the name of the yeast that can be used to ferment gluconolactone to ethanol and carbon dioxide?,1000005,Glucono delta-lactone,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z
2,What was the median income in Otago compared to the national median income?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
3,What percentage of people at least 15 years old were employed full-time?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
4,What percentage of people at least 15 years old had a bachelor's or higher degree?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
5,"What percentage of people in Otago were born overseas, compared to the national percentage?",100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
6,How many people in Otago were aged under 15 years?,100011,Otago,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
7,Who is the current Master of the Horse?,1000214,Master of the Horse,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z
8,What is the estimated lower bound of the number of dead across France during the St. Bartholomew's Day massacre?,1000232,Genocides in history (before World War I),2024-09-01T00:00:00Z,2024-08-01T00:00:00Z
9,"In what year did Shi Min seize control of the emperor and capital, Ye through a coup?",1000232,Genocides in history (before World War I),2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
10,What is the time period for which the football team was classified by the NJSIAA as Group I South for football?,10002689,Wildwood High School,2024-10-01T00:00:00Z,2024-09-01T00:00:00Z
11,What was Aaron Gibson's weight in high school?,10002729,Aaron Gibson,2024-09-01T00:00:00Z,2024-08-01T00:00:00Z
12,"What television network did Jill Whelan work for as an associate producer when she met her first husband, Brad St. John?",1000284,Jill Whelan,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
13,Against which campaign did Sargon work to retain the loyalty of his northern vassals and curb the influence of Elam following?,100041,Sargon II,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
14,In what year did the Magyars besiege Cambrai?,100048,Cambrai,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
15,How old was Myrta Silva when she died?,1000539,Myrta Silva,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z
16,Who is the current chief of the Fullerton Police Department?,10005861,Fullerton Police Department,2024-12-01T00:00:00Z,2024-11-01T00:00:00Z
17,What instruments are available at the 3.6 m telescope?,1000624,La Silla Observatory,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z
18,How many grass runways does Whanganui Airport have?,10006445,Whanganui Airport,2024-10-01T00:00:00Z,2024-09-01T00:00:00Z
19,Until what year did the Q64 operate from the MTA's College Point Depot?,10006976,Bus depots of MTA Regional Bus Operations,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
20,In what year did Orion Bus Industries agree to buy back the burned hulk of fleet no. 401 from Torrance?,10007452,Torrance Transit,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
21,How many authors have won the Andre Norton Award during the 19 nomination years?,10008637,Andre Norton Award,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z
22,What are the main organizational units of UNT and how many professional entities do they contain?,10008692,National University of Trujillo,2024-12-01T00:00:00Z,2024-11-01T00:00:00Z
23,What was the monthly membership fee for Griddy's energy services in Texas?,10009627,Griddy (company),2024-12-01T00:00:00Z,2024-11-01T00:00:00Z
24,In what year did Valparaiso University close the Law School?,1001108,Valparaiso University,2024-07-01T00:00:00Z,2024-06-01T00:00:00Z
25,"What is the Metacritic score of the film ""Repulsion"" based on 8 reviews?",1001142,Repulsion (film),2024-09-01T00:00:00Z,2024-08-01T00:00:00Z
26,What is the nearest airport to Kuppalli?,10011527,Kuppalli,2024-11-01T00:00:00Z,2024-10-01T00:00:00Z
27,How many people are on the municipal council of Schaan?,1001154,Schaan,2024-10-01T00:00:00Z,2024-09-01T00:00:00Z
28,Which serpent helps the king tie the boat to the fish's horn?,100119,Matsya,2024-08-01T00:00:00Z,2024-07-01T00:00:00Z
